model,auroc_base,auroc_nli,delta_auroc,auprc_base,auprc_nli,delta_auprc,f1_base,f1_nli,delta_f1,precision_base,precision_nli,delta_precision,recall_base,recall_nli,delta_recall
engineered_semantic_rf,0.8740012326203558,0.8863143609318627,0.0123131283115068,0.9264831574323376,0.9321597627361136,0.0056766053037757,0.8315162260637186,0.8436212654211364,0.0121050393574178,0.8348609141660561,0.8420639029581835,0.0072029887921273,0.8324682547969865,0.8480570383886974,0.0155887835917108
dictionary_modal_semantic_rf,0.8629877258151285,0.8826216291805057,0.0196339033653771,0.9218811503671148,0.9298984743097904,0.0080173239426755,0.8182445173070371,0.8402994129036471,0.02205489559661,0.8408583712100762,0.8514988708221728,0.0106404996120965,0.8006591679178671,0.8327353772764058,0.0320762093585387
semantic_rf,0.805179433588271,0.8672995929986889,0.0621201594104178,0.885738827759781,0.9254002014701525,0.0396613737103713,0.7798676040289939,0.8340620179217292,0.0541944138927352,0.7894073200320472,0.8390036345716353,0.0495963145395881,0.7739624567377718,0.8331101848965773,0.0591477281588055
engineered_semantic_xgb,0.8712768756789998,0.8813133125590361,0.0100364368800363,0.9243737503497128,0.9296498799626915,0.0052761296129788,0.8128035986592343,0.8301538484045494,0.017350249745315,0.8459054201423356,0.8584628731008248,0.0125574529584892,0.787569668826178,0.8071272132818924,0.0195575444557144
engineered_all_rf,0.8702067248318351,0.8702067248318351,0.0,0.9236173893344094,0.9236173893344094,0.0,0.8294908353828845,0.8294908353828845,0.0,0.833242969240239,0.833242969240239,0.0,0.8293643758826387,0.8293643758826387,0.0
full_hybrid_tfidf_engineered_semantic_lr,0.8566052215510056,0.8611833626205668,0.0045781410695612,0.8907071966338117,0.8988812784883078,0.008174081854496,0.8287419172399338,0.8273613320040196,-0.0013805852359142,0.8320218150332201,0.834642385934917,0.0026205709016968,0.8293527234573951,0.823640688552695,-0.0057120349047
engineered_all_lr,0.8533389623664213,0.8533389623664213,0.0,0.8900657182050979,0.8900657182050979,0.0,0.8244321917812791,0.8244321917812791,0.0,0.8371159304817256,0.8371159304817256,0.0,0.8159603940515652,0.8159603940515652,0.0
engineered_semantic_lr,0.8525320831006885,0.8563344140683835,0.003802330967695,0.8879237720645295,0.8943561411102157,0.0064323690456861,0.8253046899083215,0.8220184896572262,-0.0032862002510952,0.8350469921505462,0.8326196027974796,-0.0024273893530666,0.8200223507679073,0.8152508405058742,-0.0047715102620331
dictionary_modal_semantic_xgb,0.8613472997230796,0.8720462614108282,0.0106989616877486,0.9205445181409908,0.924879793852012,0.0043352757110213,0.7993362878116104,0.8194439163502434,0.020107628538633,0.8627676312259253,0.8654075593521343,0.002639928126209,0.7471982547296815,0.782243335278816,0.0350450805491344
dictionary_modal_semantic_lr,0.8172802806729452,0.8296053200649084,0.0123250393919631,0.851051815041648,0.8696434357300912,0.0185916206884432,0.8212881011720188,0.8164217866733005,-0.0048663144987183,0.8211817201142136,0.8305781808252352,0.0093964607110215,0.8241236247353619,0.8049599181881358,-0.0191637065472261
semantic_lr,0.8569598738279519,0.8592936910921883,0.0023338172642364,0.9221505887571338,0.9205960604785194,-0.0015545282786144,0.827176873358426,0.8161420992395462,-0.0110347741188798,0.8091910040492557,0.8471472836012849,0.0379562795520291,0.8510982795655578,0.7950584301981328,-0.056039849367425
lexical_similarity_lr,0.8652474971009344,0.8652474971009344,0.0,0.9186330327868504,0.9186330327868504,0.0,0.8161132238240906,0.8161132238240906,0.0,0.8382327349464672,0.8382327349464672,0.0,0.7988377932002358,0.7988377932002358,0.0
engineered_all_xgb,0.8698881545041665,0.8698881545041665,0.0,0.923332178653676,0.923332178653676,0.0,0.8148976038029878,0.8148976038029878,0.0,0.8478115186069916,0.8478115186069916,0.0,0.789182595051633,0.789182595051633,0.0
dictionary_modal_rf,0.8087921476976221,0.8087921476976221,0.0,0.8587224447356797,0.8587224447356797,0.0,0.8147916914137329,0.8147916914137329,0.0,0.8264879998734109,0.8264879998734109,0.0,0.8058762275868373,0.8058762275868373,0.0
lexical_similarity_rf,0.8444760587496792,0.8444760587496792,0.0,0.9073168432349914,0.9073168432349914,0.0,0.8134639152105182,0.8134639152105182,0.0,0.8133302330709516,0.8133302330709516,0.0,0.8173946782370841,0.8173946782370841,0.0
dictionary_modal_lr,0.7826806689984992,0.7826806689984992,0.0,0.8212763743212396,0.8212763743212396,0.0,0.8088897627559581,0.8088897627559581,0.0,0.8063287942364196,0.8063287942364196,0.0,0.8137266249324999,0.8137266249324999,0.0
semantic_xgb,0.8409552016434052,0.8665515287728769,0.0255963271294716,0.9109010038510896,0.9229963036515452,0.0120952998004555,0.7669047264816181,0.8059728475519309,0.0390681210703127,0.8851980716474547,0.8573300813652286,-0.027867990282226,0.681647008633699,0.7652412710355542,0.0835942624018551
dictionary_modal_xgb,0.8086115773231292,0.8086115773231292,0.0,0.857140042844824,0.857140042844824,0.0,0.8048601717457714,0.8048601717457714,0.0,0.8219133327135205,0.8219133327135205,0.0,0.7912140074812783,0.7912140074812783,0.0
lexical_similarity_xgb,0.8458227502274331,0.8458227502274331,0.0,0.9105044660147108,0.9105044660147108,0.0,0.7852064382933364,0.7852064382933364,0.0,0.8350566277163144,0.8350566277163144,0.0,0.7446596860770488,0.7446596860770488,0.0
majority,0.5,0.5,0.0,0.6456134350897451,0.6456134350897451,0.0,0.7777090352010215,0.7777090352010215,0.0,0.6456134350897451,0.6456134350897451,0.0,1.0,1.0,0.0
bow_tfidf_lr_baseline,0.6858173581138321,0.6858173581138321,0.0,0.7784028333946117,0.7784028333946117,0.0,0.721686554324729,0.721686554324729,0.0,0.7500517615010681,0.7500517615010681,0.0,0.704115462870664,0.704115462870664,0.0
mapping_complexity_rf,0.5624254131250459,0.5624254131250459,0.0,0.6932157779068428,0.6932157779068428,0.0,0.6713192876921087,0.6713192876921087,0.0,0.6822046344171518,0.6822046344171518,0.0,0.679345981483596,0.679345981483596,0.0
mapping_complexity_xgb,0.5817824039006828,0.5817824039006828,0.0,0.7028191270688682,0.7028191270688682,0.0,0.6330999988368455,0.6330999988368455,0.0,0.6940098768211596,0.6940098768211596,0.0,0.6163437547044449,0.6163437547044449,0.0
mapping_complexity_lr,0.546087653146338,0.546087653146338,0.0,0.6903953444880209,0.6903953444880209,0.0,0.5792221951478338,0.5792221951478338,0.0,0.6087136398695383,0.6087136398695383,0.0,0.5703611102565013,0.5703611102565013,0.0
